title,author,description,genres,pages,rating
A Young Muslim's Guide to the Modern World,Seyyed Hossein Nasr,"This guide was written particularly for young Muslims, urging them to become familiar with their religion and to gain an understanding of the modern world from the Islamic point of view, in order to respond positively to challenges.Nasr presents an exposition of the teachings of Islam, as revealed in the Qur'an, explained in the ""Hadith"" and ""Sunna"" of the Prophet Muhammad (Praise His Name) and commented upon by Muslim scholars and thinkers. He also outlines the Western religious and intellectual tradition. The work goes on to challenge the youth of other religious traditions to become responsible and committed by recognizing the importance of their cultural identity.The author's publications include ""Ideals and Realities of Islam"", ""Science and Civilisation in Islam"", ""Muhammad - Man of Allah"" and ""Traditional Islam in the Modern World"".","{'Islam', 'Nonfiction', 'Self Help', 'Religion', 'Social Science', 'Spirituality', 'Philosophy'}","270 pages, Paperback",4.16
Al-Muhaddithat: The Women Scholars in Islam,Mohammad Akram Nadwi محمد أكرم الندوي,"This book is an adaptation of the Muqaddimah or Preface to Mohammad Akram's 40-volume biographical dictionary (in Arabic) of the Muslim women who studied and taught hadith. It demonstrates the central role women had in preserving the Prophet's teaching, which remains the master-guide to understanding the Qur'an as rules and norms for life. Within the bounds of modesty in dress and manners, women routinely attended and gave classes in the major mosques and madrasas, travelled intensively for 'the knowledge', transmitted and critiqued hadith, issued fatwas, etc. Some of the most renowned scholars among men have depended on, and praised, the scholarship of their women teachers. The women scholars enjoyed considerable public authority in society, not exceptionally, but as the norm. The huge body of information reviewed in al-Muhaddithat is essential to understanding the role of women in Islamic society, their past achievement and future potential. Hitherto it has been so dispersed as to be 'hidden'. Akram's dictionary will greatly facilitate further study, contextualization and analysis.","{'Islam', 'Nonfiction', 'Feminism', 'Womens', 'Religion', 'Muslims', 'History'}","336 pages, Paperback",4.40
In God's Path: The Arab Conquests and the Creation of an Islamic Empire,Robert G. Hoyland,"In just over a hundred years--from the death of Muhammad in 632 to the beginning of the Abbasid Caliphate in 750--the followers of the Prophet swept across the whole of the Middle East, North Africa, and Spain. Their armies threatened states as far flung as the Franks in Western Europe and the Tang Empire in China. The conquered territory was larger than the Roman Empire at its greatest expansion, and it was claimed for the Arabs in roughly half the time. How this collection of Arabian tribes was able to engulf so many empires, states, and armies in such a short period has perplexed historians for centuries. Most accounts of the Arab invasions have been based almost solely on the early Muslim sources, which were composed centuries later to illustrate the divinely chosen status of the Arabs. Robert Hoyland's groundbreaking new history assimilates not only the rich biographical information of the early Muslim sources but also the many non-Arabic sources, contemporaneous or near- contemporaneous with the conquests.In God's Path begins with a broad picture of the Late Antique world prior to the Prophet's arrival, a world dominated by two superpowers: Byzantium and Sasanian Persia. In between these empires, emerged a distinct Arabian identity, which helped forge the inhabitants of western Arabia into a formidable fighting force. The Arabs are the principal actors in this drama yet, as Hoyland shows, the peoples along the edges of Byzantium and Persia--the Khazars, Bulgars, Avars, and Turks--all played critical roles in the remaking of the old world order. The new faith propagated by Muhammad and his successors made it possible for many of the conquered peoples to join the Arabs in creating the first Islamic Empire. Well-paced, comprehensive, and eminently readable, In God's Path presents a sweeping narrative of a transformational period in world history.","{'Islam', 'Nonfiction', 'World History', 'Religion', 'Military History', 'History', 'Medieval'}","320 pages, Hardcover",3.89
Islam: The Straight Path,John L. Esposito,"This exceptionally successful survey text introduces the faith, belief, and practice of Islam from its earliest origins up to its contemporary resurgence. The author, an internationally renowned expert on Islam, traces the development of this dynamic faith and its impact on world history andpolitics, discussing the formation of Islamic belief and practice (in law, theology, and mysticism) and chronicling the struggle of Muslims to define and adhere to their Islamic way of life. This third edition has been updated throughout and is enhanced by new material in order to more accuratelyreflect the true diversity of Muslim cultures. A study of Pakistan has been added to the existing country-by-country survey, broadening the scope of the volume beyond the countries of the Middle East for the first time. A new section on Islam in the West explores the significance of the Muslimpresence in the U.S., Great Britain, and Europe, examining some of the issues it has raised. Noteworthy figures, including Malcolm X, Warith Deen Muhammad, and Louis Farrakhan, are also considered. In the final chapter, Esposito discusses modern Muslim thinking on such issues as religious pluralism,democracy, and human rights. Lucidly written and expansive in scope, the third edition of The Straight Path provides keen insight into one of the world's least understood religions and is ideally suited for use in courses on Islam, comparative religions, and Middle Eastern history andculture.","{'Islam', 'Nonfiction', 'Reference', 'School', 'Religion', 'Theology', 'History'}","320 pages, Paperback",3.91
Forgotten Queens of Islam,Fatema Mernissi,"Mernissi recounts the extraordinary stories of fifteen queens and reflects on the implications for the ways in which politics is practiced in Islam today, a world in which women are largely excluded from the political domain.","{'Islam', 'Nonfiction', 'Feminism', 'Womens', 'Religion', 'Historical', 'History'}","240 pages, Paperback",3.82
The Truth About Muhammad: Founder of the World's Most Intolerant Religion,Robert Spencer," a frank look at his influential (and violent) life and teachingsIn The Truth about Muhammad, New York Times bestselling author and Islam expert Robert Spencer offers an honest and telling portrait of the founder of Islam-perhaps the first such portrait in half a century-unbounded by fear and political correctness, unflinching, and willing to face the hard facts about Muhammad's life that continue to affect our world today.From Muhammad's first ""revelation"" from Allah (which filled him with terror that he was demonpossessed) to his deathbed (from which he called down curses upon Jews and Christians), it's all here-told with extensive documentation from the sources that Muslims themselves consider most reliable about Muhammad.Spencer details Muhammad's development from a preacher of hellfire and damnation into a political and military leader who expanded his rule by force of arms, promising his warriors luridly physical delights in Paradise if they were killed in his cause. He explains how the Qur'an's teaching on warfare against unbelievers developed-with constant war to establish the hegemony of Islamic law as the last stage.Spencer also gives the truth about Muhammad's convenient ""revelations"" justifying his own licentiousness; his joy in the brutal murders of his enemies; and above all, his clear marching orders to his followers to convert non-Muslims to Islam-or force them to live as inferiors under Islamic rule.In The Truth about Muhammad, you'll learn- The truth about Muhammad's multiple marriages (including one to a nine-year-old) - How Muhammad set legal standards that make it virtually impossible to prove rape in Islamic countries - How Muhammad's example justifies jihad and terrorism - The real ""Satanic verses"" incident (not the Salman Rushdie version) that remains a scandal to Muslims - How Muhammad's faulty knowledge of Judaism and Christianity has influenced Islamic theology--and colored Muslim relations with Jews and Christians to this day.Recognizing the true nature of Islam, Spencer argues, is essential for judging the prospects for largescale Islamic reform, the effective prosecution of the War on Terror, the democracy project in Afghanistan and Iraq, and immigration and border control to protect the United States from terrorism.All of which makes it crucial for every citizen (and policymaker) who loves freedom to read and ponder The Truth about Muhammad","{'Islam', 'Politics', 'Nonfiction', 'Audiobook', 'Religion', 'Biography', 'History'}","224 pages, Hardcover",3.85
A History of Islamic Societies,Ira M. Lapidus,"Long considered a classic, A History of Islamic Societies is now that much more useful a reference for general readers and scholars alike. Widely praised for its balanced and comprehensive account, Ira Lapidus' work has been fully revised in its coverage of each country and region of the Muslim world through 2001. It incorporates the origins and evolution of Islamic societies and brings into focus the historical processes that gave shape to the manifold varieties of contemporary Islam. The concluding chapters survey the growing influence of the Islamist movements within national states and in their transnational or global dimensions, including the Islamic revival, Islamist politics and terrorism. An updated discussion of the roles of women in Islamic societies is added, with new sections about Afghanistan and Muslims in Europe, America, and the Philippines. Ira M. Lapidus is Professor Emeritus of History at the University of California at Berkeley. His many books and articles include Islam, Politics and Social Movements (University of California Press, 1988) and Muslim Cities in the Later Middle Ages (Cambridge, 1984).","{'Islam', 'Politics', 'Nonfiction', 'School', 'Religion', 'Historical', 'History'}","1002 pages, Paperback",4.02
الحِكم العطائية,أحمد بن عطاء الله السكندري,للسير إلى الله آداب يتحلى بها المريد والشيخ ؛ وحتى تصبح القلوب عارفة بالله لا بد من امتلائها بالإيمان ، ولا بد أيضًا من صاحب يجتمع له معرفة وحال و مقامات ؛ كما يجب حسن الظن بالله مع تجنب الذنوب صغيرها وكبيرها والتوبة على الزلة والتقصير ؛ مع الحرص على العمل الكثير دون فرح بهذا العمل . وإن فرح بعمله فمن حيث إنه فضل من الله عز وجل . كما يجب التحلي بالرضا والتسليم والحياة في مقام الطاعة . وإن وقع في مقام المعصية يسارع بالفرار منها إلى طاعة الله . كل ذلك يوصلنا إلى رؤية أنوار الجلال ؛ والعيش في معية صاحب الكمال . ,"{'Islam', 'Nonfiction', 'Literature', 'Religion', 'Mysticism', 'Spirituality', 'Philosophy'}",128 pages,4.33
"The Islamic Enlightenment: The Struggle Between Faith and Reason, 1798 to Modern Times",Christopher de Bellaigue,"With majestic prose, Christopher de Bellaigue presents an absorbing account of the political and social reformations that transformed the lands of Islam in the nineteenth and early twentieth centuries. Flying in the face of everything we thought we knew, The Islamic Enlightenment becomes an astonishing and revelatory history that offers a game-changing assessment of the Middle East since the Napoleonic Wars.Beginning his account in 1798, de Bellaigue demonstrates how Middle Eastern heartlands have long welcomed modern ideals and practices, including the adoption of modern medicine, the emergence of women from seclusion, and the development of democracy. With trenchant political and historical insight, de Bellaigue further shows how the violence of an infinitesimally small minority is in fact the tragic blowback from these modernizing processes.Structuring his groundbreaking history around Istanbul, Cairo, and Tehran, the three main loci of Islamic culture, de Bellaigue directly challenges ossified perceptions of a supposedly benighted Muslim world through the forgotten, and inspiring, stories of philosophers, anti-clerics, journalists, and feminists who opened up their societies to political and intellectual emancipation. His sweeping and vivid account includes remarkable men and women from across the Muslim world, including Ibrahim Sinasi, who brought newspapers to Istanbul; Mirza Saleh Shirzi, whose Persian memoirs describe how the Turkish harems were finally shuttered; and Qurrat al-Ayn, an Iranian noble woman, who defied her husband to become a charismatic prophet.What makes The Islamic Enlightenment particularly germane is that non-Muslim pundits in the post-9/11 era have repeatedly called for Islam to subject itself to the transformations that the West has already achieved since the Enlightenment—the absurd implication being that if Muslims do not stop reading or following the tenets of the Qur’an and other holy books, they will never emerge from a benighted state of backwardness. The Islamic Enlightenment, with its revolutionary argument, completely refutes this view and, in the process, reveals the folly of Westerners demanding modernity from those whose lives are already drenched in it.","{'Islam', 'Politics', 'Nonfiction', 'Egypt', 'Religion', 'Philosophy', 'History'}","432 pages, Hardcover",3.61
Black Flags: The Rise of ISIS,Joby Warrick,"Pulitzer Prize-winning reporter Joby Warrick reveals how the strain of militant Islam now raising its banner across Iraq and Syria spread from a remote Jordanian prison with the unwitting aid of American military intervention.     When he succeeded his father in 1999, King Abdullah of Jordan released a batch of political prisoners in the hopes of smoothing his transition to power. Little did he know that among those released was Abu Musab al-Zarqawi, a man who would go on to become a terrorist mastermind too dangerous even for al-Qaeda and give rise to an Islamist movement bent on dominating the Middle East.     Zarqawi began by directing hotel bombings and assassinations in Jordan from a base in northern Iraq, but it was the American invasion of that country in 2003 that catapulted him to the head of a vast insurgency. By identifying him as the link between Saddam and bin Laden, the CIA inadvertently created a monster. Like-minded radicals saw him as a hero resisting the infidel occupiers and rallied to his cause. Their wave of brutal beheadings and suicide bombings continued for years until Jordanian intelligence provided the Americans with the crucial intelligence needed to eliminate Zarqawi in a 2006 airstrike.     But his movement endured, first called al-Qaeda in Iraq, then renamed Islamic State of Iraq and Syria, or ISIS, seeking refuge in unstable, ungoverned pockets on the Iraq-Syria border. And as the Syrian civil war broke out in 2011, ISIS seized its chance to pursue Zarqawi's dream of a sweeping, ultra-conservative Islamic caliphate.      Drawing on unique access to CIA and Jordanian sources, Joby Warrick weaves together heart-pounding, moment-by-moment operational details with overarching historical perspectives to reveal the long trajectory of today's most dangerous Islamic extremist threat.From the Hardcover edition.","{'Politics', 'Islam', 'Nonfiction', 'Terrorism', 'Religion', 'War', 'History'}","368 pages, ebook",4.32
"The Venture of Islam, Vol 3: The Gunpowder Empires and Modern Times",Marshall G.S. Hodgson,"The Venture of Islam has been honored as a magisterial work of the mind since its publication in early 1975. In this three-volume study, illustrated with charts and maps, Hodgson traces and interprets the historical development of Islamic civilization from before the birth of Muhammad to the middle of the twentieth century. This work grew out of the famous course on Islamic civilization that Hodgson created and taught for many years at the University of Chicago.In this concluding volume of The Venture of Islam , Hodgson describes the second flowering of the Safavi, Timuri, and Ottoman empires. The final part of the volume analyzes the widespread Islamic heritage in today's world.""This is a nonpareil work, not only because of its command of its subject but also because it demonstrates how, ideally, history should be written.""— The New Yorker","{'Islam', 'Nonfiction', 'World History', 'Religion', 'Theology', 'Spirituality', 'History'}","476 pages, Paperback",4.13
"Homosexuality in Islam: Critical Reflection on Gay, Lesbian, and Transgender Muslims",Scott Siraj al-Haqq Kugle,"The first English-language book length treatment to offer a detailed analysis of how Islamic scripture, jurisprudence, and hadith can accommodate homosexuality and transgenderism.","{'Islam', 'Nonfiction', 'Queer', 'Religion', 'LGBT', 'Sexuality', 'History'}","352 pages, Paperback",3.97
The Politically Incorrect Guide to Islam,Robert Spencer,"While many choose to simply blame the West for provoking  terrorists, Robert Spencer’s new book The Politically Incorrect Guide to Islam (and the Crusades)™ reveals why it is time to ignore political correctness and identify the enemy - if we hope to ever defeat them.\  In a fast-paced, politically incorrect tour of Islamic teachings and Crusades history, Spencer reveals the roots of Islamic violence and hatred. Spencer refutes the myths popularized by left-wing academics and Islamic apologists who justify their political agendas with contrived historical “facts.”Exposing myth after myth, the author tackles Islam’s institutionalized mistreatment of non-Muslims, the stifling effect Islam has on science and free inquiry, the ghastly lure of Islam’s X-rated Paradise for suicide bombers and jihad terrorists, the brutal Islamic conquests of the Christian lands of the Middle East and North Africa, and moreHow Muhammad did not teach “peace and tolerance”—instead he led armies and ordered the assassination of his enemies Why American Muslim groups and left-wing academics are engaged in a huge cover-up of Islamic doctrine and history. How today’s jihad terrorists following the Qur’an’s command to make war on Jews and Christians have the same motives and goals as the Muslims who fought the Crusaders Why the Crusades were not acts of unprovoked aggression by Europe against the Islamic world, but a delayed response to centuries of Muslim aggression What must be done today—from reading the Qur’an to reclassifying Muslim organizations—in order to defeat Muslim terrorists  ","{'Politics', 'Islam', 'Nonfiction', 'Islamism', 'Religion', 'Philosophy', 'History'}","270 pages, Hardcover",3.89
The Proudest Blue,Ibtihaj Muhammad,"A powerful, vibrantly illustrated story about the first day of school–and two sisters on one’s first day of hijab–by Olympic medalist and social justice activist Ibtihaj Muhammad.With her new backpack and light-up shoes, Faizah knows the first day of school is going to be special. It’s the start of a brand new year and, best of all, it’s her older sister Asiya’s first day of hijab–a hijab of beautiful blue fabric, like the ocean waving to the sky. But not everyone sees hijab as beautiful, and in the face of hurtful, confusing words, Faizah will find new ways to be strong.Paired with Hatem Aly’s beautiful, whimsical art, Olympic medalist Ibtihaj Muhammad and Morris Award finalist S.K. Ali bring readers an uplifting, universal story of new experiences, the unbreakable bond between siblings, and of being proud of who you are.","{'Picture Books', 'Family', 'Realistic Fiction', 'Religion', 'Childrens', 'Muslims', 'Fiction'}","36 pages, Hardcover",4.57
The Creed of Imam al-Tahawi,أبو جعفر الطحاوي,"In an age of bewildering spiritual and intellectual confusion, creed has never been more important. Every Muslim is obliged to learn it and is promised protection from deviant beliefs by following the unassailable texts of the scholastic community of Islam. Of them all, The Creed of Imam al-Tahawi is the simplest, the most effective, and the least controversial. It serves as a sound basis for Islamic faith and is the most reliable of the early articulations of Muslim belief. Because Imam al-Tahawi avoided involuted theological issues and systematically presented the most fundamental aspects of dogmatic theology, his creed has achieved an unusual degree of acceptance in the Muslim milieu. In the thousand years since it was written, many great Muslim scholars have penned commentaries on it. It is still studied throughout the Muslim world and increasingly in the West. Born in Taha in Upper Egypt in 239 AH/853 CE, Imam Abu Ja far al-Tahawi lived until 321/933. He came from a family where intellectualism and aristocracy, as well as piety and passion were the hallmarks. He mastered both the primary sources of Islam and the ancillary sciences necessary for independent reasoning. A first-rate jurist, a brilliant grammarian and philologist, and an erudite man of letters, Imam al-Tahawi is best known for his eponymous creed. Imam al-Tahawi is called al-Azdi, in reference to the Yemeni clan known as Azd al-Hajar ; thus he was a descendent of a people about whom the Prophet Muhammad, peace be upon him, said, Faith is Yemeni. It is altogether fitting that the man who penned such a unifying creed, free of controversy, descended from the land of which faith itself is a descendant. His creed is a beacon of certainty in the darkness of doubt and ambiguity, and it provides seekers of knowledge with a luminous set of simple yet sound creedal statements.","{'Islam', 'Nonfiction', 'Theology', 'Religion'}","167 pages, Hardcover",4.46
بداية الهداية,Abu Hamid al-Ghazali,"ما بداية الهداية؟وما نهايتها؟بدايتها ظاهرة التقوى,ونهايتها باطنة التقوى,فلا عاقبة الا بالتقوى ولا هداية الا للمتقين.","{'Islam', 'Faith', 'Nonfiction', 'Self Help', 'Religion', 'Theology', 'Philosophy'}","114 pages, Hardcover",4.46
The Siege of Mecca: The Forgotten Uprising in Islam's Holiest Shrine and the Birth of al-Qaeda,Yaroslav Trofimov,"On November 20, 1979, worldwide attention was focused on Tehran, where the Iranian hostage crisis was entering its third week. The same morning—the first of a new Muslim century—hundreds of gunmen stunned the world by seizing Islam’s holiest shrine, the Grand Mosque in Mecca. Armed with rifles that they had smuggled inside coffins, these men came from more than a dozen countries, launching the first operation of global jihad in modern times. Led by a Saudi preacher named Juhayman al Uteybi, they believed that the Saudi royal family had become a craven servant of American infidels, and sought a return to the glory of uncompromising Islam. With nearly 100,000 worshippers trapped inside the holy compound, Mecca’s bloody siege lasted two weeks, inflaming Muslim rage against the United States and causing hundreds of deaths.Despite U.S. assistance, the Saudi royal family proved haplessly incapable of dislodging the occupier, whose ranks included American converts to Islam. In Iran, Ayatollah Khomeini blamed the Great Satan—the United States —for defiling the shrine, prompting mobs to storm and torch American embassies in Pakistan and Libya. The desperate Saudis finally enlisted the help of French commandos led by tough-as-nails Captain Paul Barril, who prepared the final assault and supplied poison gas that knocked out the insurgents. Though most captured gunmen were quickly beheaded, the Saudi royal family responded to this unprecedented challenge by compromising with the rebels’ supporters among the kingdom’s most senior clerics, helping them nurture and export Juhayman’s violent brand of Islam around the world.This dramatic and immensely consequential story was barely covered in the press in the pre-CNN, pre–Al Jazeera days, as Saudi Arabia imposed an information blackout and kept foreign correspondents away. Yaroslav Trofimov now penetrates this veil of silence, interviewing for the first time scores of direct participants in the siege, including former terrorists, and drawing on hundreds of documents that had been declassified on his request. Written with the pacing, detail, and suspense of a real-life thriller, The Siege of Mecca reveals how Saudi reaction to the uprising in Mecca set free the forces that produced the attacks of 9/11, and the harrowing circumstances that surround us today.","{'Islam', 'Politics', 'Nonfiction', 'Terrorism', 'Religion', 'War', 'History'}","301 pages, Hardcover",4.20
Islam: A Very Short Introduction,Malise Ruthven,"Islam features widely in the news, often in its most militant versions. But few people in the non-Muslim world really understand the nature of Islam, both as Ideology and religion. A Very Short Introduction offers essential insight into the structure and beliefs of this major worldreligion.Malise Ruthven answers fundamental questions about the nature and scope of Islam such as why the greatest Jihad (holy war) is now against the enemies of Islam, rather than the struggle against evil, why Islam has such major divisions between movements such as the Shiis, the Sunnis, and theWahhabis, and how the Sharia (Islamic law) has become such an important aspect of Islamic life. In addition, he prompts further questioning into the ideas of Islamic resurgence as both an old and new concept, whether or not women can find fulfillment and equality within an Islamic framework, andthe sort of problems facing Islam and its confrontations with the modern world.Offering fresh insights and new information, A Very Short Introduction provides a much needed discussion of Islam's past, present, and future, and its place in modern world religions.","{'Islam', 'Nonfiction', 'Religion', 'Theology', 'Spirituality', 'Philosophy', 'History'}","161 pages, Paperback",3.25
Radical: My Journey Out Of Islamist Extremism,Maajid Nawaz,"Maajid Nawaz spent his teenage years listening to American hip-hop and learning about the radical Islamist movement spreading throughout Europe and Asia in the 1980s and 90s. At 16, he was already a ranking member in Hizb ut-Tahrir, a London-based Islamist group. He quickly rose through the ranks to become a top recruiter, a charismatic spokesman for the cause of uniting Islam’s political power across the world. Nawaz was setting up satellite groups in Pakistan, Denmark, and Egypt when he was rounded up in the aftermath of 9/11 along with many other radical Muslims. He was sent to an Egyptian prison where he was, fortuitously, jailed along with the assassins of Egyptian President Anwar Sadat. The 20 years in prison had changed the assassins’ views on Islam and violence; Maajid went into prison preaching to them about the Islamist cause, but the lessons ended up going the other way. He came out of prison four years later completely changed, convinced that his entire belief system had been wrong, and determined to do something about it.He met with activists and heads of state, built a network, and started a foundation, Quilliam, to combat the rising Islamist tide in Europe and elsewhere, using his intimate knowledge of recruitment tactics in order to reverse extremism and persuade Muslims that the ‘narrative’ used to recruit them (that the West is evil and the cause of all of Muslim suffering), is false. Radical, first published in the UK, is a fascinating and important look into one man's journey out of extremism and into something else entirely.This U.S. edition contains a ""Preface for US readers"" and a new, updated epilogue. ","{'Politics', 'Islam', 'Nonfiction', 'Memoir', 'Religion', 'Biography', 'Autobiography'}","296 pages, Hardcover",4.04
The Koran: A Very Short Introduction,Michael A. Cook,"The Koran has constituted a remarkably resilient core of identity and continuity for a religious tradition that is now in its fifteenth century. In this Very Short Introduction, Michael Cook provides a lucid and direct account of the significance of the Koran both in the modern world and in that of traditional Islam. He gives vivid accounts of its role in Muslim civilization, illustrates the diversity of interpretations championed by traditional and modern commentators, discusses the processes by which the book took shape, and compares it to other scriptures and classics of the historic cultures of Eurasia.About the Combining authority with wit, accessibility, and style, Very Short Introductions offer an introduction to some of life's most interesting topics. Written by experts for the newcomer, they demonstrate the finest contemporary thinking about the central problems and issues in hundreds of key topics, from philosophy to Freud, quantum theory to Islam.","{'Islam', 'Mythology', 'Nonfiction', 'Religion', 'Theology', 'Philosophy', 'History'}","176 pages, Paperback",3.38
Why I am Not a Muslim,Ibn Warraq,"Those who practice the Muslim faith have resisted examinations of their religion. They are extremely guarded about their religion, and what they consider blasphemous acts by skeptical Muslims and non-Muslims alike has only served to pique the world's curiosity. This critical examination reveals an unflattering picture of the faith and its practitioners. Nevertheless, it is the truth, something that has either been deliberately concealed by modern scholars or buried in obscure journals accessible only to a select few.","{'Islam', 'Atheism', 'Politics', 'Nonfiction', 'Religion', 'Philosophy', 'History'}","428 pages, Paperback",3.90
رياض الصالحين,يحيى بن شرف النووي,"An extremely popular and useful compilation of authentic hadith. Covering every aspect of Islamic belief and moral conduct, it selects approximately 2000 hadith from the six major collections: Bukhari, Muslim, Abu Dawood, Tirmidhi, An-Nasai and Ibn Majah. It serves as an excellent hadith primer and daily reader. Wide range of topics: sincerity of purpose, spending in the way of Allah, rules of fasting, seeking knowledge, attending funerals and safeguarding the Qur'aan. Arabic text as well as English translation are presented here in this handsome hardcover two volume set.Riyad-us-Saliheen comprises of about 2000 ahadiths in 372 Chapters and 19 Sections: The Book of Good Manners - The Book about the Etiquette of Eating - The Book of Dress -The Book of the Etiquette of Sleeping, Lying and Sitting, etc.- The book of Greetings - The Book of Visiting the Sick - The Book of Etiquette of Traveling - The Book of Virtues - The Book of I'tikaf - The Book of Hajj - The Book of Jihad - The Book of Knowledge - The Book of Praise and Gratitude to Allah - The Book of Supplicating Allah to Exalt the Mention of Allah's Messenger (PBUH) - The Book of the Remembrance of Allah - The Book of Du'a (Supplications) - The Book of the Prohibited Actions - The Book of Miscellaneous Ahadith of Significant values - and The Book of Forgiveness.رابط التحميل:http://www.waqfeya.com/book.php?bid=5160","{'Religion', 'Islam', 'Nonfiction', 'Theology'}","510 pages, hardcover",4.66
Islamic Exceptionalism: How the Struggle Over Islam Is Reshaping the World,Shadi Hamid,"In Islamic Exceptionalism, Brookings Institution scholar and acclaimed author Shadi Hamid offers a novel and provocative argument on how Islam is, in fact, ""exceptional"" in how it relates to politics, with profound implications for how we understand the future of the Middle East. Divides among citizens aren't just about power but are products of fundamental disagreements over the very nature and purpose of the modern nation state—and the vexing problem of religion’s role in public life. Hamid argues for a new understanding of how Islam and Islamism shape politics by examining different models of reckoning with the problem of religion and state, including the terrifying—and alarmingly successful—example of ISIS.With unprecedented access to Islamist activists and leaders across the region, Hamid offers a panoramic and ambitious interpretation of the region's descent into violence. Islamic Exceptionalism is a vital contribution to our understanding of Islam's past and present, and its outsized role in modern politics. We don't have to like it, but we have to understand it—because Islam, as a religion and as an idea, will continue to be a force that shapes not just the region, but the West as well in the decades to come.","{'Islam', 'Politics', 'Nonfiction', 'Religion', 'Political Science', 'Philosophy', 'History'}","320 pages, Hardcover",3.80
The Great Arab Conquests: How the Spread of Islam Changed the World We Live In,Hugh Kennedy,"Today’s Arab world was created at breathtaking speed. In just over 100 years following the death of Mohammed in 632, Arabs had subjugated a territory with an east-west expanse greater than the Roman Empire. They did it in about one-half the time. By the mid-8th century, Arab armies had conquered the 1000-year-old Persian Empire, reduced the Byzantine Empire to little more than a city-state based around Constantinople, and destroyed the Visigoth kingdom of Spain. The cultural and linguistic effects of this early Islamic expansion reverberate today. This is the first popular English-language account in many years of this astonishing remaking of the political and religious map of the world. Hugh Kennedy’s sweeping narrative reveals how the Arab armies conquered almost everything in their path, and brings to light the unique characteristics of Islamic rule. One of the few academic historians with a genuine talent for story telling, Kennedy offers a compelling mix of larger-than-life characters, fierce battles, and the great clash of civilizations and religions.","{'Islam', 'Nonfiction', 'World History', 'Medieval History', 'Religion', 'Military History', 'History'}","464 pages, Hardcover",3.85
"Progressive Muslims: On Justice, Gender, and Pluralism",Omid Safi,"Confronting such key contemporary issues as racism, justice, sexuality, and gender, this book offers a revealing insight into the real challenges faced by Muslims of both sexes in Western society.","{'Islam', 'Politics', 'Nonfiction', 'Gender', 'Essays', 'Religion', 'Spirituality'}","368 pages, Paperback",4.05
Major Themes of the Qur'an,Fazlur Rahman,"Major Themes of the Qurâ€an is Fazlur Rahmanâ€s introduction to one of the richest texts in the history of religious thought. In this classic work, Rahman unravels the Qurâ€anâ€s complexities on themes such as God, society, revelation, and prophecy with the deep attachment of a Muslim educated in Islamic schools and the clarity of a scholar who taught for decades in the West.   â€œGenerations of scholars have profited from [Rahmanâ€s] pioneering scholarly work by taking the questions he raised and the directions he outlined to new destinations.â€--Ebrahim Moosa, from his new foreword   â€œThe religious future of Islam and the future of interfaith relationship . . . will be livelier and saner for the sort of Quranic centrality which Major Themes of the Qurâ€an exemplifies and serves.â€--Kenneth Cragg, Middle East Journal   â€œThere shines through [a] rare combination of balanced scholarly judgment and profound personal commitment. . . . [Rahman is] eager to open up the mysteries of the Qurâ€an to a shrinking world sorely in need of both moral regeneration and better mutual understanding.â€--Patrick D. Gaffney, Journal of Religion   â€œI canâ€t think of any book more important, still, than Major Themes of the Qurâ€an .â€--Michael Sells, author of Approaching the Qurâ€an","{'Islam', 'Nonfiction', 'Religion', 'Spirituality', 'Philosophy'}","180 pages, Paperback",4.16
الإسلام على مفترق الطرق,Muhammad Asad,"بين مئات الكتب التي اتفق لي أن قرأتها في اللغات الأجنبية، من تلك الكتب التي تبحث في الاسلام إعجاباً به وتحليلاً له أو تهجماً عليه، لم أجد أخلق من هذا الكتاب بالنقل إلى اللغة العربية.إن مؤلف هذا الكتاب صارح المسلمين بحقائق قل ان جرؤ غيره على التصريح بها: إنه درس دقيق لحال المسلمين اليوم من الناحية الثقافية والروحية. وهو يدعو المسلمين إلى العودة إلى حقيقة دينهم،لأن الدين الذي استطاع أن يجمع العرب منذ أربعة عشر قرناً، ويجعل منهم قوة عظيمة في السياسة والعلم والاجتماع يستطيع أن يقدم لهم اليوم ماقدم بالأمس:دستوراً للحياة لايجدون مثله في النظم التي تعرضت منذ فجر التاريخ حتى اليوم لتهذيب البشر.أما المؤلف فنمسوي الأصل، كان اسمه ليوبولد فايس فاعتنق الاسلام وتسمى باسم \""محمد الأسد\"". ثم انصرف إلى ترجمة معاني القرآن الكريم، وصحيح البخاري إلى اللغة الانكليزية.اعتمدت وزارة المعارف في المملكة العربية السعودية ليدرس في مدارسها في ثمانيات القرن الماضي","{'Islam', 'Nonfiction', 'Religion', 'Theology', 'Spirituality', 'Philosophy', 'History'}","118 pages, Hardcover",4.17
